HEXUKI Simulation Results
Timestamp,2025-10-21T22:54:47.758Z
Games Played,2700
Elapsed Time,29444.1s
MCTS Simulations,1000
Minimax Endgame,true

OVERALL STATISTICS
Player,Wins,Win %,Avg Score,Draws
Player 1,1082,40.1%,1455.7,6
Player 2,1612,59.7%,1485.8,6

OPENING ANALYSIS (First 4 Moves)
Opening Sequence,Games,P1 Wins,P2 Wins,Draws,P1 Win %,Avg Score Diff
"h6t5-h4t1-h7t2-h10t9",1,0,1,0,0.0%,-10.0
"h6t5-h1t4-h11t3-h3t2",1,0,1,0,0.0%,-73.0
"h6t5-h4t3-h2t4-h7t8",1,1,0,0,100.0%,981.0
"h6t6-h8t6-h1t8-h4t8",1,0,1,0,0.0%,-1104.0
"h6t6-h4t5-h12t9-h8t7",1,0,1,0,0.0%,-213.0
"h6t6-h7t2-h4t1-h8t4",1,1,0,0,100.0%,221.0
"h6t6-h8t9-h4t2-h1t1",1,1,0,0,100.0%,92.0
"h6t6-h14t8-h16t1-h17t2",1,0,1,0,0.0%,-536.0
"h6t6-h1t1-h3t8-h11t3",1,1,0,0,100.0%,355.0
"h6t6-h1t1-h3t8-h4t6",1,1,0,0,100.0%,625.0
"h6t6-h1t2-h3t9-h4t8",1,1,0,0,100.0%,520.0
"h6t6-h14t3-h3t9-h17t7",1,1,0,0,100.0%,2124.0
"h6t6-h7t1-h2t1-h14t9",1,1,0,0,100.0%,257.0
"h6t6-h1t1-h3t9-h4t6",1,1,0,0,100.0%,1534.0
"h6t6-h14t2-h4t1-h3t1",1,0,1,0,0.0%,-155.0
"h6t6-h1t1-h3t8-h4t8",1,1,0,0,100.0%,310.0
"h6t6-h1t1-h7t1-h3t2",1,1,0,0,100.0%,29.0
"h6t6-h1t3-h3t9-h11t4",1,1,0,0,100.0%,114.0
"h6t6-h1t4-h3t9-h8t9",1,1,0,0,100.0%,1708.0
"h6t6-h7t9-h1t8-h2t8",1,1,0,0,100.0%,434.0
"h6t6-h14t8-h16t2-h11t1",1,1,0,0,100.0%,651.0
"h6t6-h14t7-h16t2-h12t4",1,0,1,0,0.0%,-192.0
"h6t6-h1t2-h4t1-h3t1",1,0,1,0,0.0%,-706.0
"h6t6-h1t1-h7t2-h4t8",1,0,1,0,0.0%,-24.0
"h6t6-h11t7-h3t8-h1t3",1,0,1,0,0.0%,-272.0
"h6t6-h4t6-h2t1-h3t2",1,0,1,0,0.0%,-127.0
"h6t6-h1t2-h3t7-h7t9",1,1,0,0,100.0%,504.0
"h6t6-h4t9-h2t1-h1t2",1,1,0,0,100.0%,384.0
"h6t6-h1t1-h0t9-h3t3",1,1,0,0,100.0%,95.0
"h6t6-h8t8-h13t3-h3t3",1,1,0,0,100.0%,484.0
"h6t6-h1t2-h3t7-h7t7",1,1,0,0,100.0%,1793.0
"h6t6-h1t1-h3t8-h0t2",1,1,0,0,100.0%,1313.0
"h6t6-h7t9-h12t9-h17t1",1,1,0,0,100.0%,533.0
"h6t6-h8t8-h4t2-h0t5",1,1,0,0,100.0%,155.0
"h6t6-h4t9-h2t1-h1t1",1,0,1,0,0.0%,-274.0
"h6t6-h7t5-h2t2-h3t1",1,1,0,0,100.0%,155.0
"h6t6-h8t8-h11t9-h14t2",1,1,0,0,100.0%,600.0
"h6t6-h7t9-h1t7-h10t1",1,1,0,0,100.0%,554.0
"h6t6-h7t4-h4t1-h10t9",1,0,1,0,0.0%,-625.0
"h6t6-h7t2-h2t1-h10t9",1,1,0,0,100.0%,527.0
"h6t6-h4t8-h2t1-h5t9",1,1,0,0,100.0%,179.0
"h6t6-h1t1-h3t9-h4t7",1,1,0,0,100.0%,754.0
"h6t6-h14t2-h3t9-h16t7",1,1,0,0,100.0%,33.0
"h6t6-h1t2-h14t8-h17t3",1,0,1,0,0.0%,-660.0
"h6t6-h1t2-h3t8-h4t9",1,1,0,0,100.0%,1327.0
"h6t6-h14t3-h17t8-h1t2",1,0,1,0,0.0%,-173.0
"h6t6-h1t2-h3t8-h4t8",1,1,0,0,100.0%,2178.0
"h6t6-h1t3-h8t3-h3t2",1,0,1,0,0.0%,-259.0
"h6t6-h4t8-h3t9-h2t9",1,1,0,0,100.0%,1286.0
"h6t6-h1t1-h4t1-h8t3",1,1,0,0,100.0%,52.0
"h6t6-h14t2-h11t1-h18t8",1,1,0,0,100.0%,378.0
"h6t6-h11t5-h13t2-h1t1",1,1,0,0,100.0%,15.0
"h6t6-h11t4-h12t4-h16t8",1,1,0,0,100.0%,932.0
"h6t7-h1t2-h3t9-h14t7",1,1,0,0,100.0%,1413.0
"h6t7-h11t8-h1t8-h7t1",1,1,0,0,100.0%,635.0
"h6t7-h4t5-h2t2-h3t2",1,1,0,0,100.0%,30.0
"h6t7-h14t9-h3t8-h16t6",1,1,0,0,100.0%,400.0
"h6t7-h4t5-h2t2-h3t3",1,1,0,0,100.0%,727.0
"h6t7-h1t1-h4t1-h7t9",1,0,1,0,0.0%,-3.0
"h6t7-h7t5-h5t1-h3t1",1,1,0,0,100.0%,102.0
"h6t7-h1t2-h3t8-h4t9",1,0,1,0,0.0%,-4.0
"h6t7-h4t6-h2t1-h3t1",1,1,0,0,100.0%,6.0
"h6t7-h11t7-h8t4-h13t9",1,1,0,0,100.0%,83.0
"h6t7-h14t3-h8t1-h11t7",1,0,1,0,0.0%,-30.0
"h6t7-h4t7-h1t6-h2t8",1,0,1,0,0.0%,-560.0
"h6t7-h8t8-h4t3-h1t6",1,0,1,0,0.0%,-400.0
"h6t7-h1t1-h0t1-h3t2",1,0,1,0,0.0%,-937.0
"h6t7-h4t9-h2t1-h3t2",1,1,0,0,100.0%,213.0
"h6t7-h14t1-h3t9-h11t9",1,1,0,0,100.0%,513.0
"h6t7-h1t1-h3t6-h4t7",1,1,0,0,100.0%,1723.0
"h6t7-h4t1-h1t9-h3t2",1,0,1,0,0.0%,-548.0
"h6t7-h8t9-h11t4-h7t5",1,1,0,0,100.0%,63.0
"h6t7-h1t2-h3t8-h4t8",1,1,0,0,100.0%,1815.0
"h6t7-h1t1-h8t5-h12t2",1,1,0,0,100.0%,370.0
"h6t7-h8t7-h14t4-h3t1",1,0,1,0,0.0%,-377.0
"h6t7-h7t4-h1t6-h2t8",1,1,0,0,100.0%,99.0
"h6t7-h14t2-h11t1-h3t1",1,0,1,0,0.0%,-10.0
"h6t7-h1t3-h3t9-h4t9",1,1,0,0,100.0%,1865.0
"h6t7-h4t8-h2t1-h1t2",1,1,0,0,100.0%,90.0
"h6t7-h14t4-h12t4-h8t7",1,1,0,0,100.0%,639.0
"h6t7-h8t7-h13t2-h3t4",1,0,1,0,0.0%,-76.0
"h6t7-h8t8-h1t9-h4t9",1,1,0,0,100.0%,318.0
"h6t7-h4t4-h2t1-h3t2",1,1,0,0,100.0%,213.0
"h6t7-h7t6-h3t9-h1t2",1,1,0,0,100.0%,1954.0
"h6t7-h8t8-h4t1-h3t1",1,0,1,0,0.0%,-90.0
"h6t7-h11t5-h16t1-h12t1",1,0,1,0,0.0%,-260.0
"h6t7-h4t9-h2t1-h11t8",1,1,0,0,100.0%,694.0
"h6t7-h11t8-h8t6-h13t9",1,1,0,0,100.0%,1672.0
"h6t7-h1t1-h3t9-h4t8",1,1,0,0,100.0%,373.0
"h6t7-h1t2-h3t9-h4t8",1,1,0,0,100.0%,2463.0
"h6t7-h11t1-h7t9-h16t5",1,1,0,0,100.0%,1109.0
"h6t7-h1t5-h4t3-h12t1",1,0,1,0,0.0%,-202.0
"h6t7-h1t1-h3t9-h14t3",1,1,0,0,100.0%,345.0
"h6t7-h1t2-h3t9-h8t9",1,1,0,0,100.0%,1165.0
"h6t7-h7t2-h2t2-h11t7",1,1,0,0,100.0%,636.0
"h6t7-h8t4-h3t9-h11t7",1,1,0,0,100.0%,1108.0
"h6t7-h1t2-h7t1-h11t1",1,0,1,0,0.0%,-240.0
"h6t7-h14t2-h1t8-h16t9",1,1,0,0,100.0%,433.0
"h6t7-h4t9-h2t1-h5t7",1,1,0,0,100.0%,355.0
"h6t7-h4t5-h2t1-h14t8",1,0,1,0,0.0%,-195.0
"h6t7-h7t1-h4t1-h3t3",1,1,0,0,100.0%,908.0
"h6t8-h1t1-h3t9-h14t7",1,0,1,0,0.0%,-1.0
"h6t8-h1t4-h8t2-h3t1",1,0,1,0,0.0%,-55.0
"h6t8-h4t5-h3t7-h8t6",1,1,0,0,100.0%,2654.0
"h6t8-h14t2-h8t1-h3t1",1,1,0,0,100.0%,58.0
"h6t8-h4t5-h2t2-h3t2",1,1,0,0,100.0%,504.0
"h6t8-h1t1-h7t1-h4t9",1,0,1,0,0.0%,-461.0
"h6t8-h4t9-h2t1-h1t2",1,1,0,0,100.0%,69.0
"h6t8-h4t7-h2t1-h3t1",1,1,0,0,100.0%,147.0
"h6t8-h8t9-h1t5-h0t3",1,1,0,0,100.0%,1059.0
"h6t8-h11t4-h16t2-h12t1",1,0,1,0,0.0%,-12.0
"h6t8-h7t3-h10t2-h15t1",1,0,1,0,0.0%,-343.0
"h6t8-h14t3-h18t1-h3t1",1,0,1,0,0.0%,-2056.0
"h6t8-h4t6-h1t9-h2t9",1,0,1,0,0.0%,-2397.0
"h6t8-h4t9-h8t1-h3t1",1,1,0,0,100.0%,27.0
"h6t8-h4t7-h2t2-h3t2",1,1,0,0,100.0%,180.0
"h6t8-h1t1-h3t9-h4t5",1,1,0,0,100.0%,1545.0
"h6t8-h7t7-h8t1-h5t9",1,0,1,0,0.0%,-526.0
"h6t8-h7t4-h3t9-h2t6",1,0,1,0,0.0%,-408.0
"h6t8-h1t3-h3t9-h0t4",1,1,0,0,100.0%,580.0
"h6t8-h8t9-h4t1-h3t1",1,0,0,1,0.0%,0.0
"h6t8-h8t7-h7t7-h4t6",1,0,1,0,0.0%,-1346.0
"h6t8-h11t7-h16t2-h13t9",1,0,1,0,0.0%,-319.0
"h6t8-h8t8-h4t1-h3t1",1,0,1,0,0.0%,-175.0
"h6t8-h7t6-h2t3-h11t9",1,1,0,0,100.0%,93.0
"h6t8-h8t4-h14t1-h3t6",1,0,1,0,0.0%,-204.0
"h6t8-h4t3-h8t4-h3t2",1,0,1,0,0.0%,-55.0
"h6t8-h4t7-h2t2-h1t1",1,1,0,0,100.0%,376.0
"h6t8-h7t7-h1t9-h10t1",1,0,1,0,0.0%,-106.0
"h6t8-h8t5-h4t1-h3t1",1,0,1,0,0.0%,-190.0
"h6t8-h4t9-h2t1-h1t1",1,1,0,0,100.0%,673.0
"h6t8-h1t5-h0t7-h3t1",1,0,1,0,0.0%,-161.0
"h6t8-h11t2-h7t7-h2t8",1,1,0,0,100.0%,56.0
"h6t8-h14t2-h16t3-h7t9",1,1,0,0,100.0%,780.0
"h6t8-h8t8-h3t9-h4t7",1,0,1,0,0.0%,-371.0
"h6t8-h8t8-h3t7-h4t9",1,1,0,0,100.0%,2144.0
"h6t8-h4t8-h2t1-h11t7",1,1,0,0,100.0%,737.0
"h6t8-h1t3-h3t9-h11t8",1,0,1,0,0.0%,-167.0
"h6t8-h8t5-h4t3-h3t1",1,0,1,0,0.0%,-601.0
"h6t8-h14t2-h16t1-h1t1",1,0,1,0,0.0%,-240.0
"h6t8-h1t1-h8t7-h3t2",1,0,1,0,0.0%,-263.0
"h6t8-h4t7-h1t9-h7t3",1,1,0,0,100.0%,208.0
"h6t8-h11t5-h13t2-h3t1",1,0,1,0,0.0%,-124.0
"h6t8-h14t6-h1t9-h12t5",1,1,0,0,100.0%,86.0
"h6t8-h8t4-h3t7-h13t8",1,1,0,0,100.0%,80.0
"h6t8-h1t1-h7t4-h3t2",1,0,1,0,0.0%,-133.0
"h6t9-h1t1-h7t3-h3t3",1,1,0,0,100.0%,375.0
"h6t9-h1t3-h4t1-h3t2",1,0,1,0,0.0%,-872.0
"h6t9-h1t2-h8t1-h3t1",1,0,1,0,0.0%,-1605.0
"h6t9-h7t3-h2t1-h3t2",1,1,0,0,100.0%,1.0
"h6t9-h1t1-h3t8-h4t5",1,1,0,0,100.0%,1728.0
"h6t9-h4t9-h2t1-h3t1",1,1,0,0,100.0%,305.0
"h6t9-h8t7-h3t5-h4t8",1,1,0,0,100.0%,77.0
"h6t9-h11t9-h12t5-h13t8",1,1,0,0,100.0%,2010.0
"h6t9-h8t9-h4t1-h3t1",1,0,1,0,0.0%,-300.0
"h6t9-h4t8-h2t1-h7t3",1,1,0,0,100.0%,412.0
"h6t9-h1t1-h12t8-h8t9",1,0,1,0,0.0%,-115.0
"h6t9-h4t7-h2t1-h12t2",1,1,0,0,100.0%,94.0
"h6t9-h8t7-h4t2-h3t1",1,0,1,0,0.0%,-408.0
"h6t9-h1t1-h4t1-h8t4",1,1,0,0,100.0%,233.0
"h6t9-h4t8-h2t2-h1t1",1,1,0,0,100.0%,354.0
"h6t9-h4t7-h2t2-h3t1",1,0,1,0,0.0%,-212.0
"h6t9-h8t8-h3t5-h4t9",1,1,0,0,100.0%,604.0
"h6t9-h7t2-h2t1-h3t1",1,1,0,0,100.0%,318.0
"h6t9-h7t1-h2t1-h10t7",1,1,0,0,100.0%,38.0
"h6t9-h1t2-h4t2-h3t1",1,0,1,0,0.0%,-305.0
"h6t9-h1t4-h0t7-h3t3",1,1,0,0,100.0%,40.0
"h6t9-h7t2-h2t1-h10t9",1,1,0,0,100.0%,370.0
"h6t9-h8t9-h4t2-h11t1",1,1,0,0,100.0%,99.0
"h6t9-h1t5-h0t4-h2t9",1,0,1,0,0.0%,-754.0
"h6t9-h11t1-h7t6-h3t2",1,1,0,0,100.0%,562.0
"h6t9-h4t7-h2t1-h5t9",1,1,0,0,100.0%,289.0
"h6t9-h4t9-h2t1-h11t8",1,1,0,0,100.0%,351.0
"h6t9-h7t1-h2t1-h10t9",1,1,0,0,100.0%,114.0
"h6t9-h1t4-h3t8-h4t9",1,1,0,0,100.0%,642.0
"h6t9-h8t9-h4t1-h13t8",1,0,1,0,0.0%,-39.0
"h6t9-h14t7-h3t8-h1t1",1,1,0,0,100.0%,528.0
"h6t9-h1t2-h7t1-h3t1",1,0,1,0,0.0%,-201.0
"h6t9-h1t4-h3t7-h8t5",1,1,0,0,100.0%,46.0
"h6t9-h8t6-h4t1-h3t1",1,0,1,0,0.0%,-336.0
"h6t9-h4t8-h2t1-h3t1",1,0,1,0,0.0%,-62.0
"h6t9-h4t8-h2t1-h5t9",1,1,0,0,100.0%,588.0
"h6t9-h4t8-h2t1-h1t2",1,0,1,0,0.0%,-273.0
"h6t9-h11t5-h3t5-h8t9",1,1,0,0,100.0%,144.0
"h7t1-h2t7-h4t2-h6t1",1,0,1,0,0.0%,-348.0
"h7t1-h10t8-h15t7-h11t1",1,0,1,0,0.0%,-317.0
"h7t1-h12t2-h4t2-h17t1",1,0,1,0,0.0%,-182.0
"h7t1-h4t8-h11t7-h2t9",1,0,1,0,0.0%,-388.0
"h7t1-h10t7-h15t7-h11t1",1,0,1,0,0.0%,-178.0
"h7t1-h10t9-h2t3-h11t1",1,0,1,0,0.0%,-354.0
"h7t1-h4t9-h0t6-h11t1",1,0,1,0,0.0%,-323.0
"h7t1-h6t6-h2t2-h3t1",1,0,1,0,0.0%,-513.0
"h7t1-h4t6-h1t4-h3t1",1,0,1,0,0.0%,-232.0
"h7t1-h4t9-h6t2-h11t1",1,0,1,0,0.0%,-207.0
"h7t1-h2t6-h10t2-h15t1",1,0,1,0,0.0%,-637.0
"h7t1-h10t7-h11t9-h16t9",1,0,1,0,0.0%,-78.0
"h7t1-h10t8-h15t9-h2t9",1,0,1,0,0.0%,-297.0
"h7t1-h12t3-h14t5-h11t1",1,0,1,0,0.0%,-330.0
"h7t1-h10t7-h2t4-h11t2",1,0,1,0,0.0%,-502.0
"h7t1-h6t9-h4t2-h3t1",1,0,1,0,0.0%,-299.0
"h7t1-h4t7-h11t9-h2t8",1,0,1,0,0.0%,-42.0
"h7t1-h10t7-h11t7-h2t5",1,1,0,0,100.0%,42.0
"h7t1-h2t7-h4t2-h11t1",1,0,1,0,0.0%,-399.0
"h7t1-h6t5-h4t2-h11t1",1,0,1,0,0.0%,-246.0
"h7t1-h2t6-h6t7-h4t9",1,0,1,0,0.0%,-1881.0
"h7t1-h4t9-h11t7-h2t8",1,0,1,0,0.0%,-1350.0
"h7t1-h14t9-h17t9-h11t1",1,0,1,0,0.0%,-765.0
"h7t1-h6t6-h1t7-h11t2",1,0,1,0,0.0%,-154.0
"h7t1-h4t6-h6t3-h11t1",1,0,1,0,0.0%,-388.0
"h7t1-h4t9-h10t5-h11t1",1,0,1,0,0.0%,-269.0
"h7t1-h10t7-h5t4-h15t2",1,0,1,0,0.0%,-488.0
"h7t1-h10t8-h15t7-h17t1",1,0,1,0,0.0%,-342.0
"h7t1-h2t8-h4t2-h11t1",1,0,1,0,0.0%,-292.0
"h7t1-h12t3-h10t2-h17t1",1,0,1,0,0.0%,-77.0
"h7t1-h2t8-h4t3-h11t3",1,0,1,0,0.0%,-654.0
"h7t1-h10t7-h15t9-h11t2",1,0,1,0,0.0%,-150.0
"h7t1-h4t8-h10t2-h2t9",1,0,1,0,0.0%,-424.0
"h7t1-h10t9-h6t2-h11t1",1,0,1,0,0.0%,-405.0
"h7t1-h10t9-h2t3-h15t1",1,0,1,0,0.0%,-769.0
"h7t1-h4t9-h11t9-h1t1",1,1,0,0,100.0%,9.0
"h7t1-h10t7-h2t2-h11t1",1,0,1,0,0.0%,-351.0
"h7t1-h4t9-h0t4-h2t8",1,0,1,0,0.0%,-601.0
"h7t1-h10t6-h15t9-h11t3",1,0,1,0,0.0%,-447.0
"h7t1-h4t7-h11t9-h2t9",1,0,1,0,0.0%,-1614.0
"h7t1-h4t7-h0t9-h2t9",1,0,1,0,0.0%,-335.0
"h7t1-h6t8-h2t3-h3t1",1,0,1,0,0.0%,-621.0
"h7t1-h2t7-h0t8-h4t8",1,0,1,0,0.0%,-203.0
"h7t1-h10t6-h11t8-h16t9",1,0,1,0,0.0%,-1244.0
"h7t1-h4t9-h2t2-h11t1",1,0,1,0,0.0%,-1323.0
"h7t1-h10t8-h15t8-h4t9",1,0,1,0,0.0%,-300.0
"h7t2-h4t5-h5t8-h2t9",1,1,0,0,100.0%,76.0
"h7t2-h2t7-h10t1-h4t8",1,0,1,0,0.0%,-445.0
"h7t2-h2t9-h14t5-h17t1",1,0,1,0,0.0%,-197.0
"h7t2-h4t6-h2t1-h10t9",1,0,1,0,0.0%,-127.0
"h7t2-h4t9-h2t1-h6t1",1,1,0,0,100.0%,58.0
"h7t2-h10t9-h15t6-h17t1",1,1,0,0,100.0%,224.0
"h7t2-h2t6-h4t1-h1t8",1,0,1,0,0.0%,-247.0
"h7t2-h2t9-h4t1-h11t1",1,0,1,0,0.0%,-206.0
"h7t2-h2t5-h5t1-h4t9",1,1,0,0,100.0%,20.0
"h7t2-h10t9-h5t3-h15t2",1,0,1,0,0.0%,-669.0
"h7t2-h14t7-h17t9-h11t2",1,0,1,0,0.0%,-13.0
"h7t2-h2t8-h12t5-h4t9",1,0,1,0,0.0%,-11.0
"h7t2-h12t4-h2t1-h11t2",1,0,1,0,0.0%,-113.0
"h7t2-h4t9-h2t1-h10t5",1,1,0,0,100.0%,241.0
"h7t2-h2t7-h4t1-h10t6",1,0,1,0,0.0%,-186.0
"h7t2-h2t9-h4t1-h5t5",1,0,1,0,0.0%,-72.0
"h7t2-h2t8-h10t4-h14t1",1,1,0,0,100.0%,4.0
"h7t2-h4t9-h2t1-h11t2",1,1,0,0,100.0%,270.0
"h7t2-h12t3-h2t1-h5t9",1,1,0,0,100.0%,103.0
"h7t2-h14t3-h2t1-h6t1",1,1,0,0,100.0%,41.0
"h7t2-h14t6-h17t6-h11t1",1,0,1,0,0.0%,-575.0
"h7t2-h4t6-h1t8-h11t1",1,0,1,0,0.0%,-137.0
"h7t2-h14t8-h17t5-h11t1",1,0,1,0,0.0%,-196.0
"h7t2-h2t7-h11t6-h12t6",1,0,1,0,0.0%,-485.0
"h7t2-h2t4-h10t3-h0t9",1,0,1,0,0.0%,-761.0
"h7t2-h10t6-h15t8-h17t8",1,1,0,0,100.0%,425.0
"h7t2-h2t7-h6t4-h14t1",1,1,0,0,100.0%,84.0
"h7t2-h4t7-h5t4-h2t8",1,0,1,0,0.0%,-744.0
"h7t2-h10t7-h2t1-h6t1",1,0,1,0,0.0%,-329.0
"h7t2-h6t6-h12t4-h17t1",1,0,1,0,0.0%,-67.0
"h7t2-h12t2-h2t1-h6t3",1,0,1,0,0.0%,-109.0
"h7t2-h14t8-h16t1-h17t1",1,0,1,0,0.0%,-168.0
"h7t2-h10t8-h15t7-h14t9",1,1,0,0,100.0%,151.0
"h7t2-h6t5-h2t1-h3t1",1,0,1,0,0.0%,-276.0
"h7t2-h14t3-h2t1-h5t9",1,0,1,0,0.0%,-122.0
"h7t2-h14t9-h16t1-h11t1",1,1,0,0,100.0%,68.0
"h7t2-h2t9-h4t1-h6t1",1,0,1,0,0.0%,-386.0
"h7t2-h10t5-h2t1-h6t2",1,0,1,0,0.0%,-186.0
"h7t2-h12t1-h6t1-h8t2",1,1,0,0,100.0%,103.0
"h7t2-h4t4-h11t8-h10t5",1,0,1,0,0.0%,-404.0
"h7t2-h2t7-h14t6-h16t9",1,0,1,0,0.0%,-247.0
"h7t2-h10t5-h2t1-h6t1",1,1,0,0,100.0%,45.0
"h7t2-h10t7-h4t9-h2t8",1,0,1,0,0.0%,-918.0
"h7t2-h12t2-h2t1-h10t9",1,1,0,0,100.0%,88.0
"h7t2-h2t7-h6t9-h3t1",1,0,1,0,0.0%,-2350.0
"h7t2-h12t8-h11t4-h15t1",1,0,1,0,0.0%,-1040.0
"h7t2-h4t7-h2t1-h6t1",1,0,1,0,0.0%,-386.0
"h7t2-h2t8-h4t1-h10t6",1,0,1,0,0.0%,-190.0
"h7t3-h4t9-h6t1-h8t1",1,0,1,0,0.0%,-315.0
"h7t3-h12t2-h17t8-h11t3",1,1,0,0,100.0%,800.0
"h7t3-h4t6-h11t6-h1t1",1,0,1,0,0.0%,-85.0
"h7t3-h12t9-h10t1-h15t1",1,0,1,0,0.0%,-639.0
"h7t3-h2t8-h0t4-h1t6",1,0,1,0,0.0%,-242.0
"h7t3-h4t6-h5t1-h2t9",1,0,1,0,0.0%,-631.0
"h7t3-h2t8-h12t5-h11t2",1,0,1,0,0.0%,-68.0
"h7t3-h2t7-h0t2-h5t9",1,0,1,0,0.0%,-320.0
"h7t3-h10t9-h4t8-h14t4",1,1,0,0,100.0%,1486.0
"h7t3-h2t9-h4t1-h0t4",1,0,1,0,0.0%,-17.0
"h7t3-h2t8-h14t9-h11t1",1,0,1,0,0.0%,-101.0
"h7t3-h2t7-h5t1-h4t8",1,0,1,0,0.0%,-195.0
"h7t3-h6t9-h2t1-h3t1",1,0,1,0,0.0%,-84.0
"h7t3-h12t6-h2t1-h14t9",1,0,1,0,0.0%,-132.0
"h7t3-h10t9-h12t5-h17t3",1,1,0,0,100.0%,97.0
"h7t3-h6t9-h4t1-h3t1",1,0,1,0,0.0%,-94.0
"h7t3-h12t3-h2t2-h4t2",1,1,0,0,100.0%,85.0
"h7t3-h2t9-h12t8-h14t7",1,0,1,0,0.0%,-154.0
"h7t3-h2t8-h14t4-h10t7",1,1,0,0,100.0%,97.0
"h7t3-h2t8-h4t1-h10t9",1,0,1,0,0.0%,-100.0
"h7t3-h2t9-h6t2-h0t1",1,0,1,0,0.0%,-222.0
"h7t3-h4t5-h0t5-h1t3",1,0,1,0,0.0%,-504.0
"h7t3-h2t9-h4t2-h11t4",1,1,0,0,100.0%,31.0
"h7t3-h10t7-h15t5-h4t5",1,1,0,0,100.0%,79.0
"h7t3-h12t1-h4t1-h17t2",1,1,0,0,100.0%,58.0
"h7t3-h2t7-h10t2-h4t9",1,0,1,0,0.0%,-72.0
"h7t3-h2t9-h11t4-h6t4",1,0,1,0,0.0%,-270.0
"h7t3-h14t6-h16t1-h13t9",1,1,0,0,100.0%,10.0
"h7t3-h2t5-h0t1-h4t7",1,0,1,0,0.0%,-934.0
"h7t3-h4t8-h2t1-h5t7",1,0,1,0,0.0%,-114.0
"h7t3-h2t9-h4t1-h5t8",1,1,0,0,100.0%,269.0
"h7t3-h2t9-h6t1-h12t8",1,0,1,0,0.0%,-261.0
"h7t3-h2t8-h10t4-h6t4",1,1,0,0,100.0%,669.0
"h7t3-h6t9-h12t7-h14t5",1,0,1,0,0.0%,-170.0
"h7t3-h4t9-h2t1-h1t2",1,0,1,0,0.0%,-399.0
"h7t3-h2t6-h11t5-h8t2",1,0,1,0,0.0%,-80.0
"h7t3-h14t9-h2t2-h16t8",1,0,1,0,0.0%,-20.0
"h7t3-h2t9-h0t4-h14t1",1,0,1,0,0.0%,-72.0
"h7t3-h12t7-h5t1-h15t1",1,0,1,0,0.0%,-346.0
"h7t3-h2t9-h12t6-h4t8",1,1,0,0,100.0%,107.0
"h7t3-h4t7-h1t7-h2t8",1,1,0,0,100.0%,373.0
"h7t3-h6t9-h2t2-h1t2",1,0,1,0,0.0%,-146.0
"h7t3-h6t7-h14t1-h12t1",1,0,1,0,0.0%,-658.0
"h7t3-h4t7-h1t9-h2t9",1,1,0,0,100.0%,182.0
"h7t3-h2t7-h4t1-h6t1",1,0,1,0,0.0%,-358.0
"h7t3-h2t6-h14t6-h6t7",1,0,1,0,0.0%,-963.0
"h7t3-h10t5-h15t9-h6t1",1,1,0,0,100.0%,151.0
"h7t3-h6t2-h3t9-h2t8",1,1,0,0,100.0%,243.0
"h7t4-h2t7-h6t5-h1t1",1,1,0,0,100.0%,157.0
"h7t4-h14t8-h10t2-h17t1",1,0,1,0,0.0%,-503.0
"h7t4-h2t6-h6t6-h3t1",1,0,1,0,0.0%,-222.0
"h7t4-h10t4-h14t3-h12t1",1,1,0,0,100.0%,94.0
"h7t4-h14t5-h16t1-h17t2",1,0,1,0,0.0%,-20.0
"h7t4-h2t7-h4t5-h1t4",1,0,1,0,0.0%,-82.0
"h7t4-h12t5-h6t1-h8t1",1,0,1,0,0.0%,-499.0
"h7t4-h12t8-h6t9-h5t3",1,1,0,0,100.0%,320.0
"h7t4-h10t6-h6t5-h3t1",1,1,0,0,100.0%,372.0
"h7t4-h12t6-h6t5-h17t1",1,1,0,0,100.0%,348.0
"h7t4-h2t7-h5t2-h0t8",1,0,1,0,0.0%,-2378.0
"h7t4-h10t2-h2t2-h11t9",1,1,0,0,100.0%,607.0
"h7t4-h2t9-h11t8-h16t7",1,0,1,0,0.0%,-389.0
"h7t4-h2t6-h14t1-h11t9",1,0,1,0,0.0%,-206.0
"h7t4-h2t6-h4t2-h5t9",1,0,1,0,0.0%,-514.0
"h7t4-h6t8-h2t1-h3t1",1,0,1,0,0.0%,-373.0
"h7t4-h12t3-h14t6-h16t9",1,0,1,0,0.0%,-216.0
"h7t4-h6t8-h14t7-h2t9",1,0,1,0,0.0%,-44.0
"h7t4-h2t7-h10t3-h14t1",1,1,0,0,100.0%,937.0
"h7t4-h2t9-h4t2-h1t5",1,1,0,0,100.0%,502.0
"h7t4-h2t6-h4t2-h1t2",1,0,1,0,0.0%,-431.0
"h7t4-h2t7-h5t1-h14t5",1,0,1,0,0.0%,-174.0
"h7t4-h10t5-h2t1-h12t6",1,0,1,0,0.0%,-52.0
"h7t4-h2t7-h5t1-h4t9",1,0,1,0,0.0%,-146.0
"h7t4-h4t9-h1t8-h6t5",1,1,0,0,100.0%,1059.0
"h7t4-h2t5-h12t8-h15t1",1,0,1,0,0.0%,-125.0
"h7t4-h2t5-h0t6-h12t7",1,1,0,0,100.0%,234.0
"h7t4-h4t4-h5t2-h2t7",1,0,1,0,0.0%,-420.0
"h7t4-h10t4-h6t7-h2t9",1,0,1,0,0.0%,-84.0
"h7t4-h2t9-h6t7-h14t2",1,0,1,0,0.0%,-73.0
